bathrooms,bedrooms,beds,city,currency,id,is_business_travel_ready,is_fully_refundable,is_host_highly_rated,is_new_listing,is_rebookable,is_superhost,latitude,longitude,name,person_capacity,picture_count,price,price_with_service_fee,property_type_id,rate_type,reviews_count,room_and_property_type,room_type,room_type_category,space_type,tier_id,user_id
1,1,2,Leiden,EUR,19615195,false,true,false,false,false,false,52.1559126095368,4.49274261114363,Cosy place right in the center of beautiful Leiden,2,9,56,56,1,nightly,34,Privékamer in appartement,Privékamer,private_room,Privékamer,0,137949206
1,1,3,Wijngaarden,EUR,17316478,false,true,true,false,false,true,51.8407744284071,4.75825771453425,Appartement Thuisch,3,15,59,59,1,nightly,45,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,29366532
1,2,2,Rotterdam,EUR,16594089,false,true,true,false,false,true,51.91500246276777,4.4651544605715,Tuinkamer Appartement in het centrum,3,26,58,58,36,nightly,70,Geheel herenhuis,Gehele woning/appartement,entire_home,Geheel herenhuis,0,26899206
1,1,4,Delft,EUR,19514496,false,true,true,false,false,true,52.01162189368964,4.359464150464603,"Historic Delft, you must see !",2,32,58,58,35,nightly,25,Geheel loft,Gehele woning/appartement,entire_home,Geheel loft,0,136931043
1,1,2,Den Haag,EUR,18325175,false,true,false,false,false,false,52.08189186299944,4.293156339639155,Recently renovated studio (5mn from city centre),2,24,52,52,1,nightly,32,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,101505149
1,1,1,Katwijk aan Zee,EUR,17470638,false,true,true,false,false,true,52.19896848508254,4.3963054287418455,"Katwijk aan Zee, 'tiny house' vlakbij het strand",2,27,59,59,53,nightly,42,Gehele gastsuite,Gehele woning/appartement,entire_home,Gehele gastsuite,0,8590679
1,1,3,Den Haag,EUR,21735855,false,true,true,false,false,true,52.072644696646776,4.318605608812563,Comfortable stylish room  in city centre,3,31,55,55,36,nightly,82,Privékamer in stadswoning,Privékamer,private_room,Privékamer,0,61794951
1,1,2,Rotterdam,EUR,25913250,false,true,true,false,false,true,51.885867200436614,4.479105525306547,"Nearby Ahoy. Small, basic but comfortable + cozy.",3,18,52,52,1,nightly,13,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,32397044
1.5,1,1,Schiedam,EUR,28745825,false,true,false,true,false,false,51.91971406273401,4.410063505653194,Bright apt across Schiedam CS (near Rotterdam),2,6,59,59,1,nightly,0,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,3894368
1,1,3,Rijnsburg,EUR,18234625,false,true,true,false,false,true,52.19466,4.44574,Vakantiewoning bij Katwijk aan Zee,3,26,58,58,2,nightly,72,Gehele woning,Gehele woning/appartement,entire_home,Gehele woning,0,121647644
