gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;ind_wbi;a_inw;a_man;a_vrouw;a_00_14;a_15_24;a_25_44;a_45_64;a_65_oo;a_ongeh;a_gehuwd;a_gesch;a_verwed;a_w_all;a_nw_all;a_marok;a_antaru;a_suri;a_tur;a_ov_nw;a_geb;p_geb;a_ste;p_ste;a_hh;a_1p_hh;a_hh_z_k;a_hh_m_k;g_hhgro;bev_dich;a_woning;g_woz;p_1gezw;p_mgezw;p_bewndw;p_leegsw;p_koopw;p_huurw;p_wcorpw;p_ov_hw;p_e_o_w;p_bjj2k;p_bjo2k;g_ele;g_ele_ap;g_ele_tw;g_ele_hw;g_ele_2w;g_ele_vw;g_ele_hu;g_ele_ko;g_gas;g_gas_ap;g_gas_tw;g_gas_hw;g_gas_2w;g_gas_vw;g_gas_hu;g_gas_ko;p_stadsv;a_inkont;g_ink_po;g_ink_pi;p_ink_li;p_ink_hi;p_n_act;p_hh_li;p_hh_hi;p_hh_lkk;p_hh_osm;a_soz_wb;a_soz_ao;a_soz_ww;a_soz_ow;g_wodief;g_vernoo;g_gewsek;a_bedv;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_pau;a_bst_b;a_bst_nb;g_pau_hh;g_pau_km;a_m2w;g_afs_hp;g_afs_gs;g_afs_kv;g_afs_sc;g_3km_sc;a_opp_ha;a_lan_ha;a_wat_ha;pst_mvp;pst_dekp;ste_mvs;ste_oad
BU05992306;05992306;Botlek;Rotterdam;Buurt;BU05992306;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;165;70;95;.;.;5;.;.;.;.;.;2473;1632;841;3197;1;5;112
BU05992307;05992307;Europoort;Rotterdam;Buurt;BU05992307;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;5;0;2,0;.;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;85;45;40;.;.;0;.;.;.;.;.;3404;1833;1571;3198;1;5;19
BU05992308;05992308;Maasvlakte;Rotterdam;Buurt;BU05992308;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;55;5;50;.;.;0;.;.;.;.;.;5683;3271;2411;3199;1;5;7
WK059924;059924;Rotterdam-Noord-West;Rotterdam;Wijk;WK059924;1;10;5;0;0;0;5;0;0;10;0;0;0;0;0;0;0;0;0;0;.;.;.;.;5;10;5;0;1,3;9;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;670;250;420;.;.;10;.;.;.;.;.;116;111;6;.;.;4;524
BU05992459;05992459;Bedrijvenpark Noord-West;Rotterdam;Buurt;BU05992459;1;10;5;0;0;0;5;0;0;10;0;0;0;0;0;0;0;0;0;0;.;.;.;.;5;10;5;0;1,3;9;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;670;250;420;.;.;10;.;.;.;.;.;116;111;6;3047;1;4;524
WK059925;059925;Rivium;Rotterdam;Wijk;WK059925;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;25;10;15;.;.;0;.;.;.;.;.;12;10;2;.;.;3;1051
BU05992540;05992540;Rivium;Rotterdam;Buurt;BU05992540;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;25;10;15;.;.;0;.;.;.;.;.;12;10;2;3065;1;3;1051
WK059926;059926;Bedrijventerrein Schieveen;Rotterdam;Wijk;WK059926;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;0;.;.;.;.;.;152;152;0;.;.;5;34
BU05992650;05992650;Bedrijventerrein Schieveen;Rotterdam;Buurt;BU05992650;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;0;.;.;.;.;.;152;152;0;3046;1;5;34
WK059927;059927;Rozenburg;Rotterdam;Wijk;WK059927;1;12420;6130;6285;1940;1395;2815;3555;2720;5225;5360;1130;705;1340;1350;75;260;195;275;545;.;.;.;.;5690;1935;1800;1965;2,2;2749;5788;.;66;34;.;.;.;.;.;.;.;93;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5845;5250;595;1,0;1294;495;.;.;.;.;.;650;452;198;.;.;3;1203
BU05992704;05992704;Rozenburg;Rotterdam;Buurt;BU05992704;1;12420;6130;6285;1940;1395;2815;3555;2720;5225;5360;1130;705;1340;1350;75;260;195;275;545;.;.;.;.;5690;1935;1800;1965;2,2;3831;5788;.;66;34;.;.;.;.;.;.;.;93;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5845;5250;595;1,0;1802;495;.;.;.;.;.;411;324;87;3181;1;3;1204
BU05992705;05992705;Noordzeeweg;Rotterdam;Buurt;BU05992705;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;0;.;.;.;.;.;239;128;111;3181;1;5;90
